st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,st_cnty,state,winner,votes,fraction_votes,total_votes,voter_turnout
NY,36083,159774,59432,4.5,2.5,7.3,84.3,5.1,28.6,244.4,11424,50.6,15.2,20.2,NY_Rensselaer,New York,Bernie Sanders,6649,0.584,11387,0.08931004768546348
NY,36087,323866,84951,17.1,6.7,13.1,63.4,22.0,40.4,1795.9,11742,51.0,14.8,27.7,NY_Rockland,New York,Hillary Clinton,16966,0.605,28038,0.11974113672800438
NY,36091,224921,69826,2.9,2.4,1.8,91.4,4.6,37.1,271.1,16746,50.6,15.9,21.1,NY_Saratoga,New York,Bernie Sanders,9112,0.5579999999999999,16318,0.09195173324030194
NY,36093,155735,56061,6.6,4.5,11.3,75.4,8.6,29.0,756.6,10946,51.3,15.6,22.2,NY_Schenectady,New York,Bernie Sanders,6862,0.528,13008,0.10736054415817259
NY,36095,31566,53245,3.1,0.8,1.5,93.5,2.4,19.3,52.7,2798,50.2,18.7,18.8,NY_Schoharie,New York,Bernie Sanders,1088,0.636,1710,0.0667145450817101
NY,36097,18479,46976,1.7,0.4,1.2,95.3,2.0,16.9,55.9,1655,49.6,19.2,19.7,NY_Schuyler,New York,Bernie Sanders,818,0.625,1309,0.08821564945621353
NY,36099,34884,47618,3.1,0.8,5.4,89.5,2.0,19.2,108.9,3008,47.8,17.4,20.1,NY_Seneca,New York,Bernie Sanders,1164,0.528,2206,0.07914663424453139
NY,36101,98394,47476,1.6,1.5,1.6,93.8,2.5,20.8,71.2,9370,50.4,17.4,22.3,NY_Steuben,New York,Bernie Sanders,2709,0.579,4679,0.06120168934974715
NY,36103,1502968,87763,18.2,4.0,8.3,69.3,14.5,32.9,1637.4,83254,50.7,15.2,22.2,NY_Suffolk,New York,Hillary Clinton,49926,0.547,91289,0.07807088791810177
NY,36107,49870,55726,1.7,0.7,0.9,95.5,2.1,24.1,98.6,4423,50.3,17.9,21.9,NY_Tioga,New York,Bernie Sanders,1825,0.597,3057,0.07848832059385132
NY,36109,104691,51393,4.7,10.4,4.4,77.9,12.6,49.3,214.0,4764,50.7,12.3,15.4,NY_Tompkins,New York,Bernie Sanders,9298,0.623,14923,0.1684908913415418
NY,36111,180445,58590,9.8,2.0,6.8,80.2,7.4,29.9,162.3,11977,50.2,17.4,18.5,NY_Ulster,New York,Bernie Sanders,11572,0.626,18499,0.12578990556237332
NY,36113,64973,55904,2.2,0.9,1.2,94.3,3.0,28.0,75.8,5617,51.1,19.8,19.0,NY_Warren,New York,Bernie Sanders,2637,0.617,4276,0.0812493242682193
NY,36115,62372,52361,2.5,0.5,3.4,92.7,2.3,18.3,76.1,5811,48.2,17.3,19.8,NY_Washington,New York,Bernie Sanders,2087,0.6409999999999999,3254,0.06505093004038355
NY,36117,92051,52601,4.0,0.7,3.3,90.3,2.8,20.9,155.3,6662,50.5,16.5,22.1,NY_Wayne,New York,Bernie Sanders,2319,0.555,4178,0.05826429114775062
NY,36119,972634,81946,23.7,6.2,16.1,55.0,25.0,45.4,2204.7,38943,51.7,15.6,22.9,NY_Westchester,New York,Hillary Clinton,69628,0.674,103354,0.13782356022352577
NY,36121,41188,51100,3.2,0.5,6.1,89.7,2.1,14.6,71.1,3188,45.7,15.5,19.2,NY_Wyoming,New York,Bernie Sanders,909,0.605,1503,0.0451623898915093
NY,36123,25208,49335,2.2,0.5,1.0,95.3,1.7,23.2,75.0,2015,51.3,18.4,23.3,NY_Yates,New York,Bernie Sanders,669,0.5479999999999999,1221,0.06315124397089229
NC,37001,155792,43043,12.1,1.6,19.5,65.7,7.6,21.7,356.5,10719,52.3,16.1,22.9,NC_Alamance,North Carolina,Hillary Clinton,7374,0.537,13129,0.10930300895390534
NC,37003,37392,40637,4.4,1.1,5.9,87.3,2.6,11.7,143.1,2507,49.2,18.9,21.0,NC_Alexander,North Carolina,Hillary Clinton,1148,0.458,2271,0.07687964121479988
NC,37005,10879,35170,9.5,0.8,1.9,87.0,6.0,18.3,47.5,781,50.3,24.5,18.1,NC_Alleghany,North Carolina,Bernie Sanders,571,0.448,1134,0.12727414142985427
NC,37007,25765,33870,3.5,1.1,48.6,45.5,3.0,10.2,50.7,1993,48.2,16.4,20.4,NC_Anson,North Carolina,Hillary Clinton,2307,0.6609999999999999,3221,0.1570534605884068
NC,37009,27126,35951,5.3,0.5,1.0,92.4,4.2,19.5,64.0,2320,50.4,23.6,18.6,NC_Ashe,North Carolina,Hillary Clinton,1219,0.464,2424,0.10977980453760149
NC,37013,47585,40429,7.5,0.6,25.3,66.0,4.6,18.3,57.7,3994,51.9,21.6,21.2,NC_Beaufort,North Carolina,Hillary Clinton,2934,0.556,4774,0.1273169199226178
NC,37015,20106,30768,1.7,0.6,61.4,35.2,1.0,10.6,30.4,1199,49.9,19.8,18.8,NC_Bertie,North Carolina,Hillary Clinton,2065,0.695,2821,0.172791103702103
NC,37017,34657,30164,7.7,0.3,34.6,54.6,4.6,10.5,40.2,2164,51.8,18.7,21.6,NC_Bladen,North Carolina,Hillary Clinton,3442,0.596,4966,0.1827678008330031
NC,37019,118836,46438,4.8,0.7,11.2,81.4,4.2,25.1,126.8,13400,51.4,27.0,17.2,NC_Brunswick,North Carolina,Hillary Clinton,7192,0.601,11444,0.11630529501706001
NC,37021,250539,44713,6.5,1.2,6.5,83.7,5.7,33.8,362.9,20486,52.0,18.1,19.4,NC_Buncombe,North Carolina,Bernie Sanders,30913,0.621,48517,0.24026115328106942
NC,37023,89486,37263,5.8,3.7,6.8,82.1,5.1,16.6,179.3,6383,50.1,18.4,19.9,NC_Burke,North Carolina,Hillary Clinton,3511,0.461,6971,0.09725399962828353
