st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,st_cnty,state,winner,votes,fraction_votes,total_votes,voter_turnout
AL,01001,55395,53682,2.7,1.1,18.7,75.6,1.6,20.9,91.8,5922,51.4,13.8,25.2,AL_Autauga,Alabama,Hillary Clinton,2387,0.8,2931,0.07073651408720937
AL,01003,200111,50221,4.6,0.9,9.6,83.0,3.6,27.7,114.6,19346,51.2,18.7,22.2,AL_Baldwin,Alabama,Hillary Clinton,5290,0.647,7984,0.05128259214593484
AL,01005,26887,32911,4.5,0.5,47.6,46.6,2.9,13.4,31.0,2120,46.6,16.5,21.2,AL_Barbour,Alabama,Hillary Clinton,2567,0.906,2789,0.13163759815237264
AL,01007,22506,36447,2.1,0.2,22.1,74.5,1.2,12.1,36.8,1327,45.9,14.8,21.0,AL_Bibb,Alabama,Hillary Clinton,942,0.755,1188,0.06681762500464013
AL,01011,10764,32033,7.5,0.3,70.1,22.1,5.4,12.5,17.5,636,45.3,14.9,21.4,AL_Bullock,Alabama,Hillary Clinton,2451,0.913,2629,0.3107379891316167
AL,01013,20296,29918,1.2,0.9,44.0,53.1,0.8,14.0,27.0,1497,53.6,18.0,23.6,AL_Butler,Alabama,Hillary Clinton,2196,0.921,2352,0.15168181077126588
AL,01015,115916,39962,3.5,0.9,21.1,72.9,2.4,16.1,195.7,11385,51.8,16.0,22.2,AL_Calhoun,Alabama,Hillary Clinton,5011,0.765,6436,0.07136627879899911
AL,01017,34076,32402,2.0,0.8,39.5,56.8,1.1,11.8,57.4,2691,52.3,18.3,21.4,AL_Chambers,Alabama,Hillary Clinton,2899,0.8859999999999999,3211,0.11988618764760824
AL,01021,43931,41250,7.7,0.4,10.6,80.3,5.2,12.9,63.0,3308,50.8,15.2,24.2,AL_Chilton,Alabama,Hillary Clinton,860,0.731,1149,0.034504817431077
AL,01023,13323,33941,0.8,0.3,42.4,56.1,0.3,11.8,15.2,938,52.5,20.8,20.6,AL_Choctaw,Alabama,Hillary Clinton,1772,0.802,2045,0.19331732722582926
AL,01025,24945,29357,1.3,0.5,44.2,53.1,0.3,11.2,20.9,1583,52.8,18.0,22.6,AL_Clarke,Alabama,Hillary Clinton,3148,0.93,3361,0.17407806217606384
AL,01031,50909,43768,6.4,1.6,17.7,71.3,5.1,22.5,73.6,6066,50.5,15.9,23.7,AL_Coffee,Alabama,Hillary Clinton,1493,0.772,1882,0.04845075118873609
AL,01033,54543,39077,2.6,0.5,16.3,78.8,2.0,17.7,91.8,4376,51.8,18.5,21.7,AL_Colbert,Alabama,Hillary Clinton,3879,0.65,5221,0.12225113774223714
AL,01035,12670,24658,1.8,0.1,46.2,51.1,0.6,8.8,15.6,1101,51.9,20.4,21.4,AL_Conecuh,Alabama,Hillary Clinton,2031,0.7140000000000001,2575,0.2585699625048451
AL,01037,10886,37277,2.3,0.2,31.8,64.8,1.8,9.8,17.7,934,49.5,18.5,18.3,AL_Coosa,Alabama,Hillary Clinton,1012,0.877,1137,0.12784097616985735
AL,01041,13977,36275,1.7,1.8,24.0,70.6,2.3,12.7,22.8,1098,51.1,18.0,22.7,AL_Crenshaw,Alabama,Hillary Clinton,908,0.878,1015,0.09394476473593051
AL,01043,81289,38847,4.4,0.5,1.4,92.1,3.0,14.8,109.4,6167,50.5,17.6,22.5,AL_Cullman,Alabama,Hillary Clinton,1275,0.608,1998,0.031714801709075424
AL,01045,49484,44889,6.1,1.3,19.7,70.2,3.7,17.0,89.6,6730,50.5,15.4,23.6,AL_Dale,Alabama,Hillary Clinton,1544,0.77,1959,0.051817478895288385
AL,01047,41711,26519,1.0,0.5,69.5,28.5,0.8,14.2,44.8,2897,53.7,15.6,25.2,AL_Dallas,Alabama,Hillary Clinton,8577,0.7440000000000001,10351,0.3317646494717855
AL,01049,71065,37851,14.2,0.4,2.1,80.6,7.5,10.7,91.5,4371,50.7,15.7,24.7,AL_DeKalb,Alabama,Hillary Clinton,1297,0.629,1964,0.036702085861390385
AL,01051,80977,54766,2.7,0.7,21.2,73.7,2.1,21.0,128.2,8364,51.5,14.0,23.0,AL_Elmore,Alabama,Hillary Clinton,3019,0.8009999999999999,3713,0.059548735098582585
AL,01053,37733,30687,2.1,0.3,32.4,60.6,0.6,11.7,40.5,2995,48.8,16.7,22.0,AL_Escambia,Alabama,Hillary Clinton,2027,0.885,2253,0.07655001029500805
AL,01055,103531,38013,3.7,0.8,15.5,78.4,2.2,14.8,195.2,8638,51.6,17.3,22.1,AL_Etowah,Alabama,Hillary Clinton,4262,0.746,5551,0.06882771643908284
AL,01059,31601,36415,16.1,0.4,4.6,78.0,8.4,11.0,50.0,1860,50.3,15.9,24.3,AL_Franklin,Alabama,Hillary Clinton,1233,0.484,2000,0.0836052000260681
AL,01063,8553,24226,1.0,0.2,80.5,17.9,0.2,12.8,14.0,502,52.5,17.9,23.3,AL_Greene,Alabama,Hillary Clinton,2714,0.901,2927,0.44617875411709274
AL,01065,15184,30051,1.3,0.3,58.1,40.0,1.2,12.8,24.5,995,52.8,17.3,23.3,AL_Hale,Alabama,Hillary Clinton,2426,0.7959999999999999,2853,0.24497412358854376
AL,01067,17190,41650,2.6,0.7,27.3,68.4,2.9,16.6,30.8,1497,51.8,20.8,21.2,AL_Henry,Alabama,Hillary Clinton,1170,0.856,1333,0.09840746745097344
AL,01069,104193,40948,3.3,0.9,26.7,67.3,2.4,19.7,175.1,9254,52.1,16.1,23.7,AL_Houston,Alabama,Hillary Clinton,3044,0.7829999999999999,3824,0.04810107726916046
AL,01071,52665,37634,2.9,0.5,3.6,89.4,2.2,13.0,49.4,4000,50.7,18.6,21.7,AL_Jackson,Alabama,Hillary Clinton,1327,0.7,1837,0.04454770199212134
AL,01073,660793,45429,3.8,1.6,42.9,50.8,4.1,30.0,592.5,46613,52.8,14.3,23.1,AL_Jefferson,Alabama,Hillary Clinton,67357,0.816,81676,0.16073212518740315
AL,01077,93096,42844,2.4,0.9,10.4,84.7,2.1,21.1,138.8,7000,52.1,18.2,20.5,AL_Lauderdale,Alabama,Hillary Clinton,3676,0.652,5421,0.07324555216688473
AL,01079,33477,38551,2.2,0.2,11.4,76.4,1.0,11.9,49.7,1891,51.3,16.8,21.7,AL_Lawrence,Alabama,Hillary Clinton,2047,0.777,2475,0.09442063327747065
AL,01081,154255,43542,3.9,3.3,23.7,67.7,5.1,32.5,230.8,10045,50.7,10.3,21.6,AL_Lee,Alabama,Hillary Clinton,7137,0.736,9601,0.07938915088255004
AL,01083,90787,48619,5.8,1.4,13.5,77.2,4.3,22.7,147.8,6964,49.7,13.8,23.4,AL_Limestone,Alabama,Hillary Clinton,3199,0.728,4319,0.062105601033676475
AL,01085,10580,26230,1.2,0.2,72.9,25.3,0.2,14.4,15.8,626,52.3,17.4,23.1,AL_Lowndes,Alabama,Hillary Clinton,3782,0.887,4112,0.5054068205338728
AL,01087,19425,30724,1.5,0.3,81.5,16.2,1.1,19.6,35.2,1662,54.2,16.8,18.3,AL_Macon,Alabama,Hillary Clinton,4293,0.892,4776,0.300940912936017
AL,01089,350299,58434,4.7,2.6,24.6,65.5,5.4,38.5,417.7,34203,51.2,13.7,22.4,AL_Madison,Alabama,Hillary Clinton,19995,0.6859999999999999,28781,0.1058778858226064
AL,01091,20110,35079,2.4,0.3,51.0,45.6,0.7,17.4,21.5,1462,53.2,18.6,23.0,AL_Marengo,Alabama,Hillary Clinton,3590,0.6579999999999999,4682,0.302362977648905
AL,01095,94636,39526,12.9,0.7,2.7,82.3,8.0,15.2,164.4,7192,50.9,16.3,24.5,AL_Marshall,Alabama,Hillary Clinton,1494,0.621,2315,0.032400198292012704
AL,01097,415123,43028,2.8,2.0,35.3,57.8,3.2,20.7,335.9,33586,52.2,14.5,24.0,AL_Mobile,Alabama,Hillary Clinton,28927,0.8270000000000001,34599,0.10966629167740646
AL,01099,21947,29203,1.2,0.4,41.1,54.7,0.9,10.6,22.5,1237,52.6,17.9,23.4,AL_Monroe,Alabama,Hillary Clinton,2438,0.909,2643,0.15721472843252451
AL,01101,226189,44790,3.4,2.6,56.7,36.3,4.3,31.5,292.5,20008,52.6,13.3,24.0,AL_Montgomery,Alabama,Hillary Clinton,28650,0.862,32916,0.19147936599829996
AL,01103,119607,44800,7.9,0.7,12.5,76.6,5.1,19.9,206.3,9518,50.8,15.9,23.1,AL_Morgan,Alabama,Hillary Clinton,3897,0.731,5242,0.05699202382384016
AL,01105,9826,28209,1.3,0.4,67.5,30.3,0.5,10.4,14.7,670,53.4,17.9,22.4,AL_Perry,Alabama,Hillary Clinton,2575,0.82,2964,0.38872253499551995
AL,01107,20365,28741,4.1,0.3,40.2,54.7,0.3,11.0,22.4,1610,50.6,17.8,20.5,AL_Pickens,Alabama,Hillary Clinton,2326,0.762,2779,0.17164731079188458
AL,01109,33389,33090,2.2,2.2,36.9,57.1,4.0,23.0,48.9,2516,51.9,14.1,19.4,AL_Pike,Alabama,Hillary Clinton,2183,0.8370000000000001,2562,0.09520081612590349
AL,01111,22539,35213,2.9,0.3,20.2,75.0,1.7,11.1,39.5,1598,51.4,19.6,22.0,AL_Randolph,Alabama,Hillary Clinton,1236,0.706,1564,0.08896260726421781
AL,01113,59608,36143,5.0,0.8,42.9,49.5,2.2,16.0,82.6,5977,51.3,12.5,25.3,AL_Russell,Alabama,Hillary Clinton,4381,0.728,5369,0.1205780487853081
AL,01115,86697,50786,2.3,0.8,9.5,85.9,1.8,15.5,132.3,6928,50.1,15.3,23.0,AL_St. Clair,Alabama,Hillary Clinton,1808,0.693,2553,0.03824335808141476
AL,01117,206655,68770,6.0,2.2,12.1,78.5,6.0,40.3,248.5,13991,51.2,13.0,24.4,AL_Shelby,Alabama,Hillary Clinton,6657,0.628,10412,0.06664482723615095
AL,01119,13166,22186,1.1,0.4,73.5,24.8,0.9,14.9,15.2,706,55.0,16.3,19.7,AL_Sumter,Alabama,Hillary Clinton,2987,0.809,3403,0.3218789330380207
AL,01121,81322,35439,2.3,0.4,32.5,63.4,1.6,13.0,111.7,6691,51.4,16.1,22.3,AL_Talladega,Alabama,Hillary Clinton,5561,0.865,6343,0.10038426457107748
AL,01123,41165,39130,2.3,0.5,27.3,68.9,1.9,16.3,58.1,3631,51.4,19.6,21.1,AL_Tallapoosa,Alabama,Hillary Clinton,2658,0.88,2966,0.09132002542551484
AL,01125,202212,45408,3.3,1.5,31.0,63.2,3.5,27.0,147.3,12198,51.7,11.7,21.1,AL_Tuscaloosa,Alabama,Hillary Clinton,12136,0.767,15580,0.09765253583077126
AL,01127,65471,37566,2.3,0.4,6.4,89.4,1.2,10.5,84.7,5353,51.4,18.2,22.1,AL_Walker,Alabama,Hillary Clinton,1772,0.6709999999999999,2499,0.0489981659313968
AL,01129,16834,42156,1.4,0.1,24.6,65.1,0.9,9.5,16.3,1025,51.2,17.0,22.5,AL_Washington,Alabama,Hillary Clinton,1511,0.575,2073,0.15889501661384217
AL,01131,11098,23642,1.0,0.1,71.0,27.6,0.1,11.1,13.1,462,52.4,17.7,24.8,AL_Wilcox,Alabama,Hillary Clinton,3337,0.843,3747,0.44897393818322645
AZ,04001,71828,31476,6.4,0.4,0.9,19.0,1.7,10.4,6.4,4109,50.6,13.5,29.3,AZ_Apache,Arizona,Hillary Clinton,4450,0.664,6383,0.12569316343403725
AZ,04003,127448,45755,34.6,2.2,4.7,56.1,11.6,22.5,21.3,18795,49.2,19.9,22.4,AZ_Cochise,Arizona,Hillary Clinton,4654,0.565,7919,0.08007106354918472
AZ,04005,137682,49555,13.9,1.8,1.6,54.9,5.3,31.1,7.2,8084,50.6,11.1,21.8,AZ_Coconino,Arizona,Bernie Sanders,6941,0.534,12679,0.11776089094589182
AZ,04007,53119,39954,18.8,0.8,0.9,63.2,3.4,16.1,11.3,6166,50.4,26.6,20.4,AZ_Gila,Arizona,Hillary Clinton,2196,0.5920000000000001,3501,0.08279977420565429
AZ,04009,37957,44943,32.1,0.7,2.1,51.4,5.0,12.3,8.1,2695,46.5,12.3,28.3,AZ_Graham,Arizona,Hillary Clinton,937,0.491,1788,0.06569865504050333
AZ,04013,4087191,53596,30.3,4.1,5.7,57.0,14.9,29.8,414.9,271518,50.6,13.8,25.1,AZ_Maricopa,Arizona,Hillary Clinton,126988,0.581,213930,0.06988193793007483
AZ,04015,203361,39200,15.8,1.2,1.3,78.0,6.9,11.9,15.0,26193,49.7,26.9,18.7,AZ_Mohave,Arizona,Hillary Clinton,4170,0.564,7017,0.042441747975094035
AZ,04017,108101,36927,11.1,0.7,1.3,42.2,2.6,14.9,10.8,7144,49.8,15.8,28.0,AZ_Navajo,Arizona,Hillary Clinton,4415,0.597,7036,0.09039899928975885
AZ,04019,1004516,45841,36.1,3.1,4.1,53.3,12.8,29.8,106.7,92409,50.8,17.7,21.9,AZ_Pima,Arizona,Hillary Clinton,56317,0.573,96545,0.12306141215311346
AZ,04021,401918,50027,29.2,1.9,4.9,57.9,10.1,18.0,70.0,35852,47.8,18.0,24.4,AZ_Pinal,Arizona,Hillary Clinton,9771,0.621,15185,0.04997531545235305
AZ,04023,46695,37745,82.8,0.7,0.9,15.6,33.5,19.8,38.3,2223,52.0,15.8,28.3,AZ_Santa Cruz,Arizona,Hillary Clinton,2496,0.6579999999999999,3701,0.11054256807320959
AZ,04025,218844,42987,14.2,1.0,0.9,80.9,6.8,24.2,26.0,27950,51.1,28.1,17.4,AZ_Yavapai,Arizona,Hillary Clinton,8401,0.529,15509,0.08579640774108531
AZ,04027,203247,41595,61.7,1.5,2.7,32.9,25.3,14.3,35.5,15380,48.8,17.4,26.2,AZ_Yuma,Arizona,Hillary Clinton,4358,0.637,6514,0.043427741937557045
AR,05003,20948,35683,5.2,0.3,25.6,67.7,2.1,12.2,23.6,1370,51.8,18.4,23.6,AR_Ashley,Arkansas,Hillary Clinton,1375,0.474,2355,0.14714821142754883
AR,05005,40857,35343,2.0,0.6,0.4,95.2,1.9,16.5,74.9,5725,51.8,30.0,17.8,AR_Baxter,Arkansas,Hillary Clinton,1391,0.624,2198,0.06544694756687128
AR,05007,242321,54515,16.2,3.4,1.9,74.9,10.9,28.7,261.2,16452,50.5,13.0,27.0,AR_Benton,Arkansas,Hillary Clinton,5650,0.541,10346,0.05848689440752567
AR,05009,37196,38506,2.3,0.6,0.4,94.3,1.3,15.4,62.5,3280,50.8,19.8,22.6,AR_Boone,Arkansas,Hillary Clinton,721,0.5920000000000001,1190,0.041334221428605177
AR,05017,11180,26201,5.6,0.5,54.6,39.2,3.3,12.6,18.3,905,50.8,19.2,23.2,AR_Chicot,Arkansas,Hillary Clinton,1370,0.8109999999999999,1617,0.18832457513416817
AR,05019,22576,32721,4.4,0.7,24.0,69.6,2.6,21.4,26.6,1804,52.1,16.1,19.2,AR_Clark,Arkansas,Hillary Clinton,1650,0.752,2144,0.11753478678838827
AR,05021,15118,31502,1.8,0.2,0.6,95.7,0.9,9.5,25.2,1230,51.1,21.4,20.4,AR_Clay,Arkansas,Hillary Clinton,960,0.52,1616,0.13428699257632254
AR,05023,25634,40246,2.6,0.3,0.5,94.8,2.0,16.8,46.9,3158,50.7,25.4,19.8,AR_Cleburne,Arkansas,Hillary Clinton,758,0.687,1074,0.05224124676994414
AR,05027,23933,35128,2.7,0.9,36.2,59.4,2.9,20.3,32.1,1508,52.0,16.6,21.6,AR_Columbia,Arkansas,Hillary Clinton,1008,0.738,1314,0.0700296832057521
AR,05029,21083,35225,4.0,0.6,11.4,81.5,1.9,14.7,38.5,1534,50.9,18.3,23.1,AR_Conway,Arkansas,Hillary Clinton,1755,0.621,2595,0.1600584524833331
AR,05031,102518,41393,4.7,1.1,14.5,78.0,3.7,24.4,136.4,6727,51.3,13.0,24.9,AR_Craighead,Arkansas,Hillary Clinton,3543,0.64,5405,0.07020299432850725
AR,05033,61697,39479,6.7,1.6,1.6,85.6,4.1,14.3,104.4,5321,50.7,15.3,25.1,AR_Crawford,Arkansas,Hillary Clinton,1586,0.625,2460,0.05323401741137559
AR,05035,49548,37751,2.3,0.7,51.8,44.1,1.7,13.9,83.5,3541,52.6,12.1,27.9,AR_Crittenden,Arkansas,Hillary Clinton,3379,0.764,4101,0.11479642822712326
AR,05037,17227,38085,1.9,0.5,22.9,73.3,0.7,11.4,29.0,1189,51.4,17.6,24.0,AR_Cross,Arkansas,Hillary Clinton,780,0.742,1008,0.07699052588806432
AR,05039,7755,28931,2.7,0.2,41.3,54.1,2.5,10.2,12.2,444,51.7,20.5,22.3,AR_Dallas,Arkansas,Hillary Clinton,693,0.568,1054,0.17491932385549405
AR,05041,12264,28680,4.8,0.4,47.9,46.6,1.8,12.7,16.9,754,53.2,17.1,25.6,AR_Desha,Arkansas,Hillary Clinton,1342,0.6859999999999999,1791,0.19628653494097598
AR,05043,18622,31171,2.9,0.9,28.0,67.0,1.9,19.1,22.3,983,51.2,16.1,22.4,AR_Drew,Arkansas,Hillary Clinton,1250,0.6779999999999999,1725,0.11937161123025974
AR,05045,120768,50314,4.1,1.2,11.3,81.1,2.9,27.2,174.8,8027,51.1,11.2,23.9,AR_Faulkner,Arkansas,Hillary Clinton,4077,0.586,6851,0.07454481419658818
AR,05049,12125,35522,1.2,0.3,0.6,95.8,1.1,10.0,19.8,1358,50.5,25.4,20.4,AR_Fulton,Arkansas,Hillary Clinton,701,0.5539999999999999,1174,0.1216391234523131
AR,05051,97322,39162,5.3,0.8,8.5,82.9,3.6,20.9,141.7,10575,51.7,21.7,20.9,AR_Garland,Arkansas,Hillary Clinton,4057,0.687,5836,0.07581022305794174
AR,05055,43694,38413,2.7,0.3,0.9,94.5,1.1,14.7,72.9,3801,50.8,15.0,24.6,AR_Greene,Arkansas,Hillary Clinton,1236,0.655,1821,0.05527347835847543
AR,05059,33368,41193,3.3,0.4,11.6,82.7,0.9,12.3,53.5,3202,48.1,17.2,21.6,AR_Hot Spring,Arkansas,Hillary Clinton,1562,0.637,2292,0.08761296414993713
AR,05063,36959,35026,5.9,0.8,2.3,89.3,3.6,14.4,48.0,2826,51.3,17.0,24.0,AR_Independence,Arkansas,Hillary Clinton,1059,0.645,1580,0.056250097903651416
AR,05069,72297,37140,1.9,0.9,55.5,40.3,1.4,17.5,88.9,5858,50.8,15.1,23.3,AR_Jefferson,Arkansas,Hillary Clinton,9936,0.787,12051,0.21732387798635713
AR,05071,26005,31003,13.5,1.2,2.1,81.1,6.3,14.7,38.7,1887,50.3,15.8,24.8,AR_Johnson,Arkansas,Hillary Clinton,1056,0.623,1636,0.08365821630046594
AR,05075,16931,32239,1.3,0.2,1.0,96.0,0.6,10.4,29.6,1443,50.5,19.3,22.6,AR_Lawrence,Arkansas,Hillary Clinton,933,0.495,1659,0.12659682551019893
AR,05077,9860,25034,2.7,0.5,54.2,41.0,0.8,7.1,17.3,485,44.0,16.7,19.6,AR_Lee,Arkansas,Hillary Clinton,956,0.8959999999999999,1040,0.131189892323373
AR,05081,12532,39673,3.1,0.4,19.7,73.3,1.4,10.6,24.7,1218,50.9,19.5,22.2,AR_Little River,Arkansas,Hillary Clinton,721,0.531,1162,0.11918075844091054
AR,05083,21958,34996,2.7,1.9,1.5,91.4,1.2,11.7,31.6,2058,50.2,19.2,22.4,AR_Logan,Arkansas,Hillary Clinton,881,0.6890000000000001,1242,0.07288985626730694
AR,05085,71557,52582,4.0,0.9,6.2,86.8,2.1,18.2,88.7,7426,50.5,12.6,26.4,AR_Lonoke,Arkansas,Hillary Clinton,1664,0.654,2481,0.04710823417755745
AR,05087,15740,35771,5.4,0.8,0.4,90.4,2.3,10.3,18.8,1279,49.9,17.5,23.5,AR_Madison,Arkansas,Hillary Clinton,1085,0.417,2163,0.1796347509779007
AR,05091,43428,41319,3.1,0.6,25.1,69.3,0.9,13.9,69.5,3406,50.8,15.2,24.1,AR_Miller,Arkansas,Hillary Clinton,1300,0.7609999999999999,1656,0.05023989550101736
AR,05093,44235,36428,4.0,0.5,34.9,59.4,1.8,13.0,51.6,3002,51.3,13.4,26.7,AR_Mississippi,Arkansas,Hillary Clinton,2017,0.8190000000000001,2359,0.07275417738973494
AR,05095,7582,27263,2.2,0.6,40.3,55.1,0.8,11.3,13.4,629,52.5,20.3,21.2,AR_Monroe,Arkansas,Hillary Clinton,843,0.607,1254,0.20988796602158197
AR,05103,24828,32015,2.2,0.5,40.3,55.4,1.0,15.5,35.6,2039,52.6,18.3,23.0,AR_Ouachita,Arkansas,Hillary Clinton,2095,0.7509999999999999,2620,0.13704677793609646
AR,05105,10245,42455,2.8,0.2,2.2,92.4,0.8,11.9,18.9,1002,50.3,17.9,22.1,AR_Perry,Arkansas,Hillary Clinton,648,0.529,1076,0.13482264744817443
AR,05107,19930,26737,1.7,0.4,61.6,35.6,0.6,12.0,31.3,1271,53.0,16.3,27.2,AR_Phillips,Arkansas,Hillary Clinton,2696,0.754,3352,0.2310283795481989
AR,05115,63201,40453,8.4,1.2,3.2,84.8,3.5,20.7,76.0,4459,50.1,14.4,22.8,AR_Pope,Arkansas,Hillary Clinton,1680,0.5760000000000001,2849,0.05839171069717284
AR,05119,392702,46013,6.0,2.2,36.0,54.0,5.2,31.2,503.8,31984,52.0,13.5,23.7,AR_Pulaski,Arkansas,Hillary Clinton,34862,0.764,45323,0.15126240378911138
AR,05121,17571,34418,1.9,0.4,0.9,95.2,0.6,12.3,27.6,1405,50.9,19.9,22.5,AR_Randolph,Arkansas,Hillary Clinton,662,0.619,1018,0.0747566095894812
AR,05125,115719,55348,4.2,1.1,6.6,86.6,2.2,23.4,148.0,10509,51.0,17.1,23.8,AR_Saline,Arkansas,Hillary Clinton,4358,0.674,6366,0.07219497842758249
AR,05131,126776,40471,13.4,4.5,6.8,71.1,9.5,19.2,236.4,10175,51.0,14.5,24.5,AR_Sebastian,Arkansas,Hillary Clinton,3694,0.611,5920,0.06184971605547585
AR,05139,40227,37435,3.6,0.8,32.6,61.5,2.1,16.1,40.1,3090,51.4,16.6,23.9,AR_Union,Arkansas,Hillary Clinton,2548,0.503,4217,0.1377530739074151
AR,05141,16851,32517,3.1,0.4,0.5,93.5,1.6,13.6,24.4,1901,50.3,24.6,19.7,AR_Van Buren,Arkansas,Hillary Clinton,770,0.607,1206,0.08912634235467805
AR,05143,220792,41248,16.2,2.6,3.5,72.2,11.6,28.7,215.6,12056,49.9,10.7,25.3,AR_Washington,Arkansas,Hillary Clinton,9110,0.513,17617,0.10681396067500068
AR,05145,78592,42487,4.2,0.7,4.6,88.4,2.5,18.1,74.5,6022,51.1,15.1,23.8,AR_White,Arkansas,Hillary Clinton,2024,0.69,2842,0.04745595980062753
AR,05147,6910,28259,1.5,0.2,26.9,69.5,0.7,10.1,12.4,581,52.0,21.2,21.9,AR_Woodruff,Arkansas,Hillary Clinton,862,0.662,1154,0.2138339840384234
AR,05149,21951,35535,18.9,1.6,2.1,76.1,12.7,9.4,23.9,1426,50.2,17.1,25.1,AR_Yell,Arkansas,Hillary Clinton,723,0.5820000000000001,1155,0.07024992368303745
CA,06001,1610921,72112,22.7,28.9,12.1,32.8,30.8,41.8,2043.6,63738,51.0,12.5,21.4,CA_Alameda,California,Hillary Clinton,107102,0.537,198426,0.1567118323489416
CA,06005,36742,53684,13.0,1.4,2.1,79.6,5.7,19.3,64.1,4631,46.9,25.1,15.3,CA_Amador,California,Hillary Clinton,1949,0.517,3702,0.118957057016548
CA,06007,224241,43752,15.5,4.6,1.8,73.5,7.5,24.4,134.4,18453,50.5,17.0,20.2,CA_Butte,California,Bernie Sanders,14271,0.589,23952,0.1338516934636617
CA,06009,44624,55295,11.5,1.5,1.0,82.1,4.2,21.2,44.7,5216,50.0,25.1,17.7,CA_Calaveras,California,Hillary Clinton,2630,0.513,5022,0.13674403042328676
CA,06011,21419,52158,58.1,1.8,1.2,36.7,23.3,13.8,18.6,1126,48.6,13.1,28.0,CA_Colusa,California,Hillary Clinton,653,0.512,1237,0.0802117538426423
CA,06013,1111339,78756,25.2,16.4,9.6,45.6,23.5,39.0,1465.2,57474,51.3,14.2,23.4,CA_Contra Costa,California,Hillary Clinton,69809,0.594,116718,0.1371079104991493
CA,06015,27212,37909,19.0,3.7,3.5,63.3,6.5,14.0,28.4,2770,45.2,15.6,21.2,CA_Del Norte,California,Bernie Sanders,1323,0.5539999999999999,2338,0.1090329661966093
CA,06017,183087,69297,12.7,4.0,1.0,78.7,8.7,32.0,106.0,16792,49.9,18.0,20.9,CA_El Dorado,California,Hillary Clinton,10367,0.515,19864,0.13716165431068994
CA,06019,965974,45563,51.9,10.7,5.9,30.9,21.9,19.6,156.2,42944,50.1,11.2,28.9,CA_Fresno,California,Hillary Clinton,32895,0.595,54567,0.07945020822821108
CA,06021,27955,43023,40.4,3.0,1.2,53.0,17.2,14.6,21.4,1514,49.6,14.9,26.7,CA_Glenn,California,Hillary Clinton,649,0.491,1293,0.06310082736262698
CA,06023,134809,41426,10.8,2.8,1.4,75.5,5.7,27.5,37.7,10437,50.0,15.4,19.5,CA_Humboldt,California,Bernie Sanders,13245,0.68,19281,0.1776702801373132
CA,06025,179091,41807,82.3,2.3,3.5,12.3,32.3,13.3,41.8,6405,48.9,12.0,28.5,CA_Imperial,California,Hillary Clinton,5743,0.6679999999999999,8474,0.06617724090963951
CA,06027,18410,44796,20.9,1.6,1.0,64.3,10.4,21.4,1.8,1720,49.9,21.4,20.6,CA_Inyo,California,Bernie Sanders,957,0.547,1713,0.11718798101458933
CA,06029,874589,48552,51.5,5.0,6.3,36.2,20.6,15.0,103.3,44753,48.7,9.9,29.4,CA_Kern,California,Hillary Clinton,19104,0.573,32579,0.05276294619675617
CA,06031,150269,48133,53.2,4.4,7.3,33.7,20.1,12.9,110.1,10609,44.8,9.1,27.5,CA_Kings,California,Hillary Clinton,3921,0.5920000000000001,6469,0.05937857189899218
CA,06033,64184,36548,19.1,1.4,2.1,72.1,8.6,16.2,51.5,6777,50.0,20.6,20.4,CA_Lake,California,Bernie Sanders,2704,0.521,5112,0.10005781117979277
CA,06035,31749,53107,18.5,1.4,8.8,66.0,7.0,13.1,7.7,3119,36.3,12.5,17.0,CA_Lassen,California,Bernie Sanders,770,0.508,1460,0.055404458237371675
CA,06037,10116705,55909,48.4,14.8,9.2,26.8,35.1,29.7,2419.6,331642,50.7,12.2,22.8,CA_Los Angeles,California,Hillary Clinton,590502,0.57,1025158,0.13126061009650092
CA,06039,154548,45625,56.1,2.5,4.3,35.8,21.5,13.6,70.6,8266,51.9,12.8,27.6,CA_Madera,California,Hillary Clinton,4831,0.556,8457,0.07558130306778048
CA,06041,260750,90839,16.0,6.1,2.9,72.2,19.0,54.6,485.1,15439,51.2,19.4,20.5,CA_Marin,California,Hillary Clinton,27238,0.5760000000000001,47086,0.2271435204447741
CA,06043,17682,49820,10.3,1.4,1.1,81.4,4.7,21.3,12.6,2153,49.2,24.5,16.7,CA_Mariposa,California,Bernie Sanders,1050,0.512,2013,0.13666817252859745
CA,06045,87869,43469,24.1,2.2,1.0,66.2,12.5,22.0,25.1,6798,50.2,18.9,21.9,CA_Mendocino,California,Bernie Sanders,4654,0.629,7344,0.10701531900102307
CA,06047,266353,42591,57.5,8.1,4.2,29.5,25.6,12.6,132.2,11102,49.5,10.5,30.0,CA_Merced,California,Hillary Clinton,7169,0.57,12359,0.06628689853583133
CA,06051,13997,61757,27.9,1.8,0.8,65.8,17.0,29.8,4.7,850,46.7,11.8,19.5,CA_Mono,California,Bernie Sanders,917,0.546,1672,0.14839027173968514
CA,06053,431344,59168,57.4,6.9,3.5,31.2,29.9,23.0,126.5,21572,49.0,12.0,26.4,CA_Monterey,California,Hillary Clinton,17126,0.565,30020,0.09456035896699819
